1;100% BANCO
2;BANCO ACTIVO
3;B.O.D
4;BANESCO
5;BANPLUS
6;BANPRO
7;BICENTENARIO
8;NACIONAL DE CREDITO
9;CARIBE
10;EXTERIOR
11;MERCANTIL
12;MI BANCO
13;PLAZA
14;PROVINCIAL
15;BANCO DEL TESORO
16;BANCO DE VENEZUELA
17;VENEZOLANO DE CRÉDITO
